date,GWL,ET,NDVI,T,P
28/04/2003,278.91,68.333,0.3287,36.577,41.02652058
28/05/2003,278.7,38.75,0.22555,43.605,8.72851274
28/06/2003,278.7,35.5,0.2097,46.135,3.256319845
28/07/2003,278.57,27.25,0.202,46.015,0.635772062
28/08/2003,278.62,29,0.2116,48.34,1.69636641
28/09/2003,278.43,20.333,0.2028,46.137,1.06463389
28/10/2003,279.2,62.5,0.2561,31.37,81.44516623
28/11/2003,277.7,52.25,0.34025,25.89,87.89229709
28/12/2003,278.03,61.333,0.6481,16.655,109.4242582
28/01/2004,278.1,78.333,0.64645,19.735,5.585947971
28/02/2004,277.97,92.25,0.58165,23.52,43.60425683
28/03/2004,278.13,92.5,0.497,30.64,59.59526855
28/04/2004,278.215,72.667,0.3225,34.983,61.27692372
28/05/2004,278.3,61.667,0.25675,38.07,39.55929819
28/06/2004,278.18,32.5,0.24805,47.295,0.665200843
28/07/2004,278.09,27.25,0.23095,46.655,2.097405133
28/08/2004,277.92,24,0.2193,45.98,0.676983664
28/09/2004,277.81,21,0.21885,44.375,0.677126574
28/10/2004,278,46,0.2122,37.87,75.18022708
28/11/2004,278.3,44,0.3382,27.07,40.45792741
28/12/2004,278.42,62.667,0.62415,17.775,48.13157355
28/01/2005,278.4,61.333,0.5544,21.915,4.973047433
28/02/2005,278.54,59.667,0.44425,23.76,36.75613557
28/03/2005,278.16,80.333,0.4099,35.155,21.71731105
28/04/2005,278.08,43.333,0.22585,39.203,2.250635197
28/05/2005,277.7,35,0.2127,44.395,3.324589072
28/06/2005,277.66,25.25,0.20635,47.77,5.594447728
28/07/2005,277.83,30.25,0.2084,47.405,0.042694336
28/08/2005,278,28.25,0.20675,47.755,0.501413567
28/09/2005,277.95,30.333,0.2125,45.103,2.434129927
28/10/2005,277.75,36.333,0.2209,38.077,20.33491672
28/11/2005,277.6,38,0.2164,27.86,86.42653584
28/12/2005,278.05,37,0.38295,21.155,55.1070694
28/01/2006,279.4,58.667,0.50165,15.64,154.0486735
28/02/2006,279.17,105,0.5874,20.245,74.38916287
28/03/2006,279.58,128.5,0.5313,24.065,38.07395953
28/04/2006,279.5,88.667,0.3851,32.963,23.9251408
28/05/2006,279.45,45.75,0.23285,38.515,22.89574895
28/06/2006,279.35,45.5,0.2107,44.4,5.067283284
28/07/2006,279.1,29.25,0.2027,46.17,3.455102633
28/08/2006,278.85,32.333,0.20195,46.605,2.107475679
28/09/2006,278.88,23.667,0.1978,41.683,8.381311007
28/10/2006,278.75,31.667,0.2066,38.117,44.4784659
28/11/2006,278.875,37.333,0.2573,29.515,27.77855515
28/12/2006,279,,0.3117,23.29,17.50551643
28/01/2007,279.03,,0.308,28.145,24.2639551
28/02/2007,278.97,52.5,0.4251,28.3,34.30044644
28/03/2007,278.91,53.75,0.36735,34.365,29.26233684
28/04/2007,278.85,64,0.2903,37.437,66.55908644
28/05/2007,278.2,49.25,0.23665,46,11.8893031
28/06/2007,278.2,35.5,0.20455,46.795,0.148707927
28/07/2007,278.2,25.75,0.19095,47.78,0.126708303
28/08/2007,278.1,33.25,0.21895,46.32,0.72958053
28/09/2007,278,32.333,0.2091,44.063,1.703486645
28/10/2007,278.05,25.667,0.222,36.85,18.06941597
28/11/2007,278.1,27.667,0.23755,31.1,77.30037707
28/12/2007,278.31,40.5,0.3933,21.68,33.41879684
28/01/2008,278.52,77,0.59375,21.665,41.37030478
28/02/2008,278.5,81,0.5239,30.463,35.44777296
28/03/2008,278.62,48.333,0.30225,34.99,15.58517139
28/04/2008,278.175,37.333,0.23605,39.403,35.04594469
28/05/2008,277.73,56.333,0.20485,42.043,15.63577985
28/06/2008,277.6,21.75,0.1873,47.76,0.35814189
28/07/2008,277.87,31.75,0.1874,46.485,0.078016511
28/08/2008,278.06,30,0.20525,47.07,0.040901604
28/09/2008,278.3,37.5,0.1848,42.04,41.97377059
28/10/2008,278.61,58,0.3026,28.697,89.04917672
28/11/2008,278.92,46.333,0.3335,26.123,87.81967789
28/12/2008,279.75,62.5,0.5469,18.045,53.86207058
28/01/2009,280.2,83.5,0.6677,15.62,97.91046372
28/02/2009,281.36,125,0.69965,19.29,100.9351984
28/03/2009,281.42,124,0.61775,27.28,76.71281265
28/04/2009,281.2,83,0.34055,33.103,13.34009005
28/05/2009,280.84,49.75,0.20755,39.735,3.514154267
28/06/2009,280.63,37.25,0.19575,44.795,9.333794776
28/07/2009,280.3,20.5,0.19725,47.57,0.454142197
28/08/2009,279.9,33,0.1984,44.715,0.111860397
28/09/2009,279.5,33,0.2101,40.217,56.61004525
28/10/2009,279.78,28,0.2257,40.183,7.111300937
28/11/2009,279.5,30.25,0.22445,31.52,16.85564317
28/12/2009,280.1,57.5,0.3479,21.76,138.7077369
28/01/2010,280.15,71,0.45595,18.975,109.6097469
28/02/2010,280.2,108.5,0.57975,19.98,146.6882132
28/03/2010,280.25,145.25,0.61855,21.585,52.76087928
28/04/2010,280.3,97,0.38345,35.763,21.93736227
28/05/2010,280.35,53.75,0.25265,39.515,13.23520932
28/06/2010,280.4,39.5,0.2351,43.885,5.385865308
28/07/2010,280.45,29.75,0.21985,43.84,2.400792134
28/08/2010,280.5,24.25,0.21505,48.44,5.172948365
28/09/2010,280.51,37,0.2142,42.743,5.400494847
28/10/2010,280.08,44.667,0.2489,35.917,56.50720055
28/11/2010,280.52,40.667,0.25795,27.92,159.9970658
28/12/2010,281.01,57.667,0.50895,19.02,67.40256876
28/01/2011,281.5,76.25,0.6524,19.125,79.17923103
28/02/2011,281.31625,82.5,0.58585,20.895,27.56885512
28/03/2011,281.1325,109.25,0.5206,26.92,80.86884749
