date,GWL,P,T,EV,NDVI
28/08/2008,185.8,0.040031827,44.75,49,0.21745
28/09/2008,186.27,41.98950201,38.58,68.5,0.21935
28/10/2008,185.82,89.54751438,30.943,90.333,0.3414
28/11/2008,186.22,84.60810542,23.037,61,0.5401
28/12/2008,186.62,51.84269446,17.965,85.25,0.69275
28/01/2009,186.66,94.56753731,15.45,123,0.7392
28/02/2009,187.02,97.76729107,17.3,147.75,0.64115
28/03/2009,186.97,66.38932693,25.465,154.75,0.62055
28/04/2009,186.89,12.54248142,30.137,142,0.41415
28/05/2009,186.78,3.83424766,36.24,106.25,0.2441
28/06/2009,186.72,10.57537517,42.37,89.25,0.2279
28/07/2009,186.53,0.686551016,44.675,57,0.21775
28/08/2009,186.5,0.134058171,42.825,46.25,0.2257
28/09/2009,186.64,56.93077147,39.623,67,0.2728
28/10/2009,186.6,6.978583284,37.577,54,0.3849
28/11/2009,186.65,15.03087804,31.83,57,0.3621
28/12/2009,186.73,135.3289729,20.15,56.5,0.5195
28/01/2010,186.81,107.1003524,18.805,102.667,0.7196
28/02/2010,186.96,156.9321012,18.22,115,0.699
28/03/2010,187.3,49.98500222,21.41,173.5,0.64675
28/04/2010,187.26,22.13694155,29.163,128.5,0.4474
28/05/2010,187.2,11.41040833,35.87,89.333,0.26405
28/06/2010,187.28,5.056943625,41.69,94.75,0.25015
28/07/2010,187.26,2.562919088,41.85,50.5,0.23095
28/08/2010,187.26,6.101532429,46.175,31.75,0.22935
28/09/2010,187.41,5.012966506,40.397,53.333,0.2248
28/10/2010,187.5,51.84724545,30.697,72.333,0.376
28/11/2010,187.62,147.3602414,24.625,75.5,0.5599
28/12/2010,187.8,74.09146482,20.657,83.5,0.674
28/01/2011,187.8188889,78.78119427,19.21,103.75,0.6694
28/02/2011,187.8377778,27.66303241,19.85,141.75,0.67315
28/03/2011,187.8566667,73.39231914,24.615,199.75,0.6152
28/04/2011,187.8755556,72.69571781,27.983,137.667,0.4623
28/05/2011,187.8944444,104.0143797,34.8,95,0.29645
28/06/2011,187.9133333,5.727429751,42.6,51.333,0.2716
28/07/2011,187.9322222,0.566293392,42.115,68.75,0.2546
28/08/2011,187.9511111,0.17508257,41.89,62,0.2599
28/09/2011,187.97,3.349911086,42.837,53,0.2567
28/10/2011,187.95,28.85850075,35.363,38.667,0.2592
28/11/2011,188.1,110.6040752,25.565,66.75,0.50455
28/12/2011,188.11,7.15240033,22.115,73.333,0.6528
28/01/2012,188.18,24.99239579,21.46,86,0.61425
