date,747-27,P,T,ET,NDVI
28/07/2002,215.4,0.072790715,47.205,31.5,0.189
28/08/2002,215.365,0.218458447,45.925,34.25,0.19405
28/09/2002,215.33,1.09673054,44.677,29.5,0.2029
28/10/2002,215.4114286,31.14433283,41.03,51,0.2066
28/11/2002,215.4928571,196.1967874,27.72,53.333,0.2978
28/12/2002,215.5742857,54.73086798,21.695,58.5,0.49825
28/01/2003,215.6557143,41.16995242,19,80.25,0.583
28/02/2003,215.7371429,27.77839959,22.85,192.25,0.70745
28/03/2003,215.8185714,84.20882213,29.297,183.5,0.65055
28/04/2003,215.9,56.68982863,26.717,111,0.4246
28/05/2003,215.82,8.138033397,39.69,54.25,0.2258
28/06/2003,215.8,3.437480785,43.82,39,0.1942
28/07/2003,215.52,0.289922624,43.915,30.75,0.18265
28/08/2003,215.64,1.686116394,46.28,32.75,0.20135
28/09/2003,215.8,1.139134252,45.077,21.667,0.1793
28/10/2003,215.8,89.87709278,33.96,91,0.2086
28/11/2003,215.91,86.40406966,25.415,51,0.38075
28/12/2003,215.53,98.88873053,17.34,66,0.68135
28/01/2004,215.6,4.70389726,20.295,113.5,0.7663
28/02/2004,215.6,43.65182519,22.385,172,0.76955
28/03/2004,215.6,56.84184158,28.625,141.5,0.643
28/04/2004,215.63,53.74600768,31.303,95.667,0.419
28/05/2004,215.66,50.54399282,35.23,66.667,0.25845
28/06/2004,215.59,0.954286611,46.52,28.75,0.20195
28/07/2004,215.51,1.789758749,46.085,26,0.2032
28/08/2004,215.58,0.51331926,44.635,30,0.23235
28/09/2004,215.55,0.949995099,44.295,23.5,0.21025
28/10/2004,215.5,74.78086549,36.55,49,0.2193
28/11/2004,215.43,38.62286568,28.57,43,0.2747
28/12/2004,215.48,48.99069053,18.88,66.333,0.5693
28/01/2005,215.5,4.791598119,21.155,138.333,0.74635
28/02/2005,215,39.2743367,22.64,115,0.69835
28/03/2005,214.95,21.95326898,31.585,121.5,0.57805
28/04/2005,214.9,2.355883922,37.13,57,0.25405
28/05/2005,214.82,3.146302778,41.795,39.5,0.19775
28/06/2005,214.1,5.881734967,48.01,27.25,0.2419
28/07/2005,214.135,0.072106618,45.635,32.25,0.20095
28/08/2005,214.17,0.481846088,45.93,28.75,0.19825
28/09/2005,214.15,2.176439948,43.703,31,0.2197
28/10/2005,214.65,18.73537016,37.203,46,0.2246
28/11/2005,214.78,84.62851703,28.91,42,0.21695
28/12/2005,214.85,54.40672749,21.785,52.75,0.57025
28/01/2006,214.82,133.5182762,13.68,88.5,0.69755
28/02/2006,214.94,71.65611506,19.48,232.5,0.84785
28/03/2006,215.28,38.3250272,24.375,299.5,0.8581
28/04/2006,215,20.84192276,29.243,121.333,0.50065
28/05/2006,214.95,18.26703773,36.195,58.25,0.22145
28/06/2006,214.77,4.640852351,41.895,52,0.18915
28/07/2006,214.73,3.498653591,45.185,27,0.185
28/08/2006,214.68,2.075469023,46.515,28,0.2221
28/09/2006,214.7,7.567592561,41.29,31.333,0.2577
28/10/2006,214.73,46.84885222,38.717,28,0.1977
28/11/2006,214.73,28.22173923,28.055,39.667,0.2371
28/12/2006,214.73,18.39095114,22.765,43,0.34295
28/01/2007,214.67,20.61170013,26.76,39,0.4241
28/02/2007,214.595,37.79852092,27.43,89,0.54135
28/03/2007,214.52,32.31564823,33.635,69,0.4645
28/04/2007,214.445,49.02611911,36.63,79.5,0.3889
28/05/2007,214.37,12.05083524,44.925,59.25,0.2362
28/06/2007,214.295,0.212205118,46.435,38.75,0.2014
28/07/2007,214.22,0.157984335,47.07,26.75,0.18725
28/08/2007,214.195,0.904987704,45.64,35.25,0.19665
28/09/2007,214.17,2.463893965,43.817,39.667,0.2897
28/10/2007,214.145,17.9993412,38.203,29.667,0.2305
28/11/2007,214.12,79.35820162,31.635,18,0.2226
28/12/2007,214.16,34.84087864,20.665,49,0.53625
28/01/2008,214.2,35.36552337,19.595,158,0.7893
28/02/2008,214.35,34.12874937,23.6,194.25,0.8172
28/03/2008,214.23,14.8158326,31.125,115,0.51975
28/04/2008,214.15,24.2531535,35.137,48.5,0.2349
28/05/2008,214.07,15.06004661,42.157,71.667,0.1734
28/06/2008,213.94,0.384422747,47.51,23,0.16905
28/07/2008,213.8,0.087473444,46.015,29.75,0.1727
28/08/2008,213.77,0.043827994,45.565,31,0.20175
28/09/2008,213.9,40.7161501,41.695,45.25,0.22125
28/10/2008,213.42,89.96190423,29.11,64.5,0.2791
28/11/2008,213.55,84.11773324,24.483,53,0.445
28/12/2008,214.26,50.05355537,18.02,70.75,0.61635
28/01/2009,214.37,89.23715991,15.86,126,0.79715
28/02/2009,214.62,107.7953625,18.91,187.333,0.7421
28/03/2009,214.7,59.66691649,25.465,185,0.64655
28/04/2009,214.68,12.8064698,30.51,119.667,0.42545
28/05/2009,214.52,3.252595637,37.65,62.5,0.20085
28/06/2009,214.46,9.939713359,44.03,42.75,0.18615
28/07/2009,214.32,0.235078342,45.92,28.75,0.17715
28/08/2009,214.23,0.113232455,44.3,32,0.18145
28/09/2009,214.22,54.04643118,41.697,43,0.2201
28/10/2009,214.52,7.226767637,39.89,37.667,0.4343
28/11/2009,214.16,16.24019623,34.445,35.5,0.42135
28/12/2009,214.44,124.8125861,22.445,33,0.37875
28/01/2010,214.7,89.34723186,18.155,76.333,0.6613
28/02/2010,214.96,169.82283,19.495,127,0.7711
28/03/2010,215.44,51.14847672,19.175,190.5,0.68295
28/04/2010,215.77,19.56599191,35.317,118.333,0.4055
28/05/2010,215.97,12.58485773,36.515,65,0.2141
28/06/2010,216.03,4.898147698,43.82,47.5,0.1869
