date,GWL,P,T,ET,NDVI
28/05/2008,207.34,15.5679203,40.077,40.5,0.19195
28/06/2008,206.7,0.472973539,47.24,30,0.1836
28/07/2008,206,0.07391477,45.745,36.25,0.197
28/08/2008,204.95,0.105660021,46.52,31.25,0.19035
28/09/2008,206.37,42.80861378,43.225,32.333,0.215
28/10/2008,208.7,89.10086846,32.503,42.667,0.205
28/11/2008,209.84,89.86681223,27.577,40.333,0.3118
28/12/2008,211.88,55.44907129,18.055,50.25,0.60215
28/01/2009,212.88,96.21046257,16.045,78,0.7241
28/02/2009,213.88,94.6243751,19.803,147.25,0.77585
28/03/2009,212.47,72.71516901,26.725,284.75,0.70445
28/04/2009,209.58,12.94599295,31.477,144.333,0.4268
28/05/2009,207.02,3.575388774,37.96,60.75,0.24165
28/06/2009,206.4,11.73540455,43.22,53.25,0.21075
28/07/2009,206.46,0.373516873,46.375,31.75,0.19305
28/08/2009,205.63,0.183506984,44.84,29.5,0.18375
28/09/2009,206.49,56.45647645,42.95,30.333,0.201
28/10/2009,207.78,7.076871023,40.51,31.667,0.2142
28/11/2009,207.58,14.8128359,31.645,40,0.2353
28/12/2009,209.2,144.4109598,23.535,50.5,0.3094
28/01/2010,211.1,104.8113635,19.195,61,0.5455
28/02/2010,212.2,154.7979748,17.62,43.5,0.7386
28/03/2010,212.5,50.57259035,23.63,59.75,0.70965
28/04/2010,209.16,22.93996006,32.457,81,0.49865
28/05/2010,208.02,11.99483751,38.145,68.75,0.25835
28/06/2010,207.7,5.182547718,43.045,45,0.20175
28/07/2010,208.03,2.192794003,43.85,28.5,0.1989
28/08/2010,208.03,7.002032541,48.075,37,0.2006
28/09/2010,208.02,6.034500226,41.763,45.667,0.2057
28/10/2010,208.18,53.7816782,34.93,29.667,0.2281
28/11/2010,211.5,143.7243891,28.745,40,0.28485
28/12/2010,212.35,76.3389405,20.343,34.333,0.4987
28/01/2011,212.6,78.62340063,20.025,131.5,0.73445
28/02/2011,211.76875,27.08055854,20.835,183,0.81755
28/03/2011,210.9375,68.79771155,25.02,108,0.79705
28/04/2011,210.10625,60.47854006,30.47,50.5,0.5096
28/05/2011,209.275,92.41140854,34.97,64.5,0.2667
28/06/2011,208.44375,6.102753326,43.675,23.75,0.2243
28/07/2011,207.6125,0.469672043,44.485,32.75,0.2071
28/08/2011,206.78125,0.206644715,42.845,32,0.20985
28/09/2011,205.95,3.169221394,43.303,42.333,0.2213
28/10/2011,207.8,29.04398283,35.57,69.333,0.2301
28/11/2011,211.47,108.3779812,26.33,40,0.3964
28/12/2011,212.27,6.81124974,23.47,63,0.57215
28/01/2012,210.04,23.72979999,22.96,95.5,0.6214
28/02/2012,208.56,6.89069286,24.85,184,0.62525
28/03/2012,205.05,13.11288799,34.36,179,0.48655
28/04/2012,204.175,63.39657962,36.097,113.667,0.3513
28/05/2012,203.3,4.045393523,42.01,65,0.22315
28/06/2012,202.32,3.263768021,43.855,43,0.207
28/07/2012,202.3,0.20934464,44.435,26.5,0.2036
28/08/2012,199.96,0.205962291,47.905,35,0.19865
28/09/2012,199.95,22.36277685,45.135,40.5,0.22
28/10/2012,201.4,101.1005133,38.93,30.333,0.2221
28/11/2012,207.42,101.6396606,18.05,30.333,0.3751
28/12/2012,209.47,15.79017757,21.5,45,0.5982
28/01/2013,208.12,44.86417562,20.845,64.5,0.79265
28/02/2013,209.6,19.42991406,21.415,153.333,0.76255
28/03/2013,210.4,96.42053998,22.13,193.5,0.7298
28/04/2013,211.67,43.22153449,31.51,118.667,0.4341
28/05/2013,204.82,16.56056625,36.695,66,0.2438
28/06/2013,203.15,0.472913906,44.015,52,0.1969
28/07/2013,203,0.287032591,47.51,38,0.1896
28/08/2013,202.11,0.789749888,47.55,25.75,0.19045
28/09/2013,202.12,16.21203572,42.837,40,0.2598
28/10/2013,205.86,10.1629892,37.783,50.667,0.2444
28/11/2013,207.35,34.84242082,29.055,39,0.2134
28/12/2013,208.67,22.2181052,24.93,54.333,0.3399
28/01/2014,204.33,91.1214264,23.45,105,0.5047
28/02/2014,207.49,31.56531125,23.095,165.5,0.7015
28/03/2014,205.95,22.39716545,29.2,231.5,0.64645
28/04/2014,202.94,59.02397275,35.723,169.667,0.3675
28/05/2014,202.45,7.08549352,41.125,61.5,0.21345
28/06/2014,202,1.304197066,43.935,39.25,0.2495
28/07/2014,202,0.974765327,45.15,39,0.1848
28/08/2014,202.43,1.049728766,44.775,34.5,0.187
28/09/2014,202.53,8.263124898,41.03,27,0.1916
28/10/2014,204.66,8.764165699,41.097,32.333,0.2346
28/11/2014,205.73,181.6634417,25.85,56.5,0.292
28/12/2014,207.21,59.65558612,18.13,46.5,0.6461
28/01/2015,208.02,60.15412223,18.155,74.75,0.6931
28/02/2015,209.12,22.22004846,20.11,98.333,0.8009
28/03/2015,207.65,51.56538874,26.36,93.333,0.7148
28/04/2015,204.84,2.478027865,32.417,78,0.53825
28/05/2015,202.38,12.81545618,39.835,39.667,0.24705
28/06/2015,202.36,1.027170584,44.395,33.25,0.20535
28/07/2015,201.37,4.46424374,45.97,30.25,0.1923
28/08/2015,202.2,5.855263956,41.5,24.5,0.1948
28/09/2015,203.55,8.823732063,42.397,35.5,0.2079
28/10/2015,204.71,44.47690603,36.457,46,0.2236
28/11/2015,204.76,21.09047234,32.175,60,0.2483
28/12/2015,204.35,3.630995013,28.8,67.5,0.25145
28/01/2016,204.2,21.65038955,29.505,115.75,0.2639
28/02/2016,204.37,54.92269278,31.22,200.5,0.2564
28/03/2016,204.3,52.4259755,32.635,193.333,0.3271
28/04/2016,203.65,15.34794465,39.77,151,0.3636
28/05/2016,202.85,48.55677187,41.357,63.667,0.24895
28/06/2016,202.69,2.135915022,46.23,33.25,0.23795
28/07/2016,202.74,1.555162182,46.775,27.5,0.2165
28/08/2016,203.1,1.113276291,48.74,26.25,0.2188
28/09/2016,203.46,2.430662066,44.975,43,0.21735
28/10/2016,204.26,18.54088448,40.117,30.333,0.2211
28/11/2016,203.69,82.57930934,28.003,31.333,0.256
28/12/2016,203.56,74.65923035,22.945,32,0.48545
28/01/2017,202.71,45.22194967,19.55,62.333,0.7328
28/02/2017,202.91,96.2047863,23.263,137,0.86135
28/03/2017,203.16,32.58657646,29.08,148,0.7103
28/04/2017,201.95,7.2648637,36.377,97.667,0.3335
28/05/2017,201.47,8.494013518,39.605,45.75,0.22945
28/06/2017,201.25,2.933676872,47.475,47.75,0.18955
28/07/2017,200.96,0.225786952,46.805,42.75,0.18465
28/08/2017,201.04,1.05462803,46.215,30.75,0.1956
28/09/2017,201.52,1.755777709,44.07,33,0.2123
28/10/2017,201.54,11.28715595,40.717,44,0.2239
28/11/2017,201.96,23.82762372,32.375,59.667,0.22605
28/12/2017,201.8,58.70961142,22.87,66.5,0.32135
28/01/2018,201.97,85.33019024,19.33,110.333,0.54785
28/02/2018,202.26,84.95250106,20.41,191.667,0.8014
28/03/2018,202.49,110.5695398,22.97,270.25,0.7972
28/04/2018,202.22,63.70647669,29.19,145,0.689
28/05/2018,201.85,13.35355295,31.583,52.667,0.3014
28/06/2018,200.95,0.934168923,40.415,42.5,0.22555
28/07/2018,200.75,0.163575482,42,33.25,0.1938
28/08/2018,200.82,1.54888849,46.095,34.75,0.22445
28/09/2018,200.87,37.97777295,43.057,35.5,0.2202
28/10/2018,201.17,94.0593338,35.223,47.5,0.2564
28/11/2018,202.1,85.53150952,25.115,37.333,0.37875
28/12/2018,202.18,10.47128852,23.645,35,0.6079
28/01/2019,201.74,17.47373611,22.425,35,0.6499
28/02/2019,201.89,27.06760347,29.57,50.333,0.6374
28/03/2019,200.9,33.39046428,34.485,73,0.45885
28/04/2019,201.14,20.63320801,35.59,88.5,0.30605
28/05/2019,200.57,6.972519681,45.99,77,0.2263
28/06/2019,200.44,0.621826597,46.465,47,0.20775
28/07/2019,200.54,0.489005959,46.54,30.25,0.21535
28/08/2019,200.58,1.716596201,47.78,24.25,0.20485
28/09/2019,200.62,3.192635402,45.163,34,0.1987
28/10/2019,200.66,18.53459014,39.903,40.5,0.2544
28/11/2019,200.7,27.97484457,29.175,50.333,0.2524
28/12/2019,200.74,68.66730148,25.415,55.5,0.52875
28/01/2020,200.78,20.1736975,25.22,101.333,0.6163
28/02/2020,200.82,1.103314525,32.865,260,0.6088
28/03/2020,200.66,19.64435765,34.11,247,0.3615
28/04/2020,202.3,18.41507748,36.63,77.667,0.27295
28/05/2020,200.85,44.11327279,44.31,48,0.25205
28/06/2020,200.94,1.608927928,46.36,27.75,0.24905
28/07/2020,201.62,1.284191357,49.275,31.25,0.219
28/08/2020,202.02,0.645957065,46.815,24.75,0.22165
