date,GWL,ET,NDVI,T,P
1051488000,278.91,68.333,0.3287,36.577,41.02652058
1054080000,278.7,38.75,0.22555,43.605,8.72851274
1056758400,278.7,35.5,0.2097,46.135,3.256319845
1059350400,278.57,27.25,0.202,46.015,0.635772062
1062028800,278.62,29.0,0.2116,48.34,1.69636641
1064707200,278.43,20.333,0.2028,46.137,1.06463389
1067299200,279.2,62.5,0.2561,31.37,81.44516623
1069977600,277.7,52.25,0.34025,25.89,87.89229709
1072569600,278.03,61.333,0.6481,16.655,109.4242582
1075248000,278.1,78.333,0.64645,19.735,5.585947971
1077926400,277.97,92.25,0.58165,23.52,43.60425683
1080432000,278.13,92.5,0.497,30.64,59.59526855
1083110400,278.215,72.667,0.3225,34.983,61.27692372
1085702400,278.3,61.667,0.25675,38.07,39.55929819
1088380800,278.18,32.5,0.24805,47.295,0.665200843
1090972800,278.09,27.25,0.23095,46.655,2.097405133
1093651200,277.92,24.0,0.2193,45.98,0.676983664
1096329600,277.81,21.0,0.21885,44.375,0.677126574
1098921600,278.0,46.0,0.2122,37.87,75.18022708
1101600000,278.3,44.0,0.3382,27.07,40.45792741
1104192000,278.42,62.667,0.62415,17.775,48.13157355
1106870400,278.4,61.333,0.5544,21.915,4.973047433
1109548800,278.54,59.667,0.44425,23.76,36.75613557
1111968000,278.16,80.333,0.4099,35.155,21.71731105
1114646400,278.08,43.333,0.22585,39.203,2.250635197
1117238400,277.7,35.0,0.2127,44.395,3.324589072
1119916800,277.66,25.25,0.20635,47.77,5.594447728
1122508800,277.83,30.25,0.2084,47.405,0.042694336
1125187200,278.0,28.25,0.20675,47.755,0.501413567
1127865600,277.95,30.333,0.2125,45.103,2.434129927
1130457600,277.75,36.333,0.2209,38.077,20.33491672
1133136000,277.6,38.0,0.2164,27.86,86.42653584
1135728000,278.05,37.0,0.38295,21.155,55.1070694
1138406400,279.4,58.667,0.50165,15.64,154.0486735
1141084800,279.17,105.0,0.5874,20.245,74.38916287
1143504000,279.58,128.5,0.5313,24.065,38.07395953
1146182400,279.5,88.667,0.3851,32.963,23.9251408
1148774400,279.45,45.75,0.23285,38.515,22.89574895
1151452800,279.35,45.5,0.2107,44.4,5.067283284
1154044800,279.1,29.25,0.2027,46.17,3.455102633
1156723200,278.85,32.333,0.20195,46.605,2.107475679
1159401600,278.88,23.667,0.1978,41.683,8.381311007
1161993600,278.75,31.667,0.2066,38.117,44.4784659
1164672000,278.875,37.333,0.2573,29.515,27.77855515
1172620800,278.97,52.5,0.4251,28.3,34.30044644
1175040000,278.91,53.75,0.36735,34.365,29.26233684
1177718400,278.85,64.0,0.2903,37.437,66.55908644
1180310400,278.2,49.25,0.23665,46.0,11.8893031
1182988800,278.2,35.5,0.20455,46.795,0.148707927
1185580800,278.2,25.75,0.19095,47.78,0.126708303
