date,GWL,P,T,ET,NDVI
1027814400,188.3,0.028365564,44.585,70.25,0.30395
1030492800,188.4,0.095202292,43.805,79.25,0.3584
1033171200,188.5,1.055216817,42.41,51.667,0.2356
1035763200,188.7142857,36.63526717,37.917,69.0,0.399
1038441600,188.9285714,212.0611095,27.515,66.75,0.33465
1041033600,189.1428571,51.67414141,20.7,68.0,0.51695
1043712000,189.3571429,45.52694383,18.125,83.0,0.5724
1046390400,189.5714286,26.91752583,23.32,119.5,0.64525
1048809600,189.7857143,75.80064833,23.865,156.0,0.6153
1051488000,190.0,34.96472418,29.543,129.5,0.4415
1054080000,189.7,8.831782043,38.68,76.75,0.2709
1056758400,189.4,2.833195746,42.105,72.75,0.2526
1059350400,189.2,0.922476131,40.995,55.0,0.2105
1062028800,189.57,1.252022521,45.005,60.5,0.2497
1064707200,189.4,0.757943736,43.177,44.0,0.2901
1067299200,189.29,79.20019054,29.183,83.0,0.2454
1069977600,189.0,93.69588017,24.365,66.5,0.3982
1072569600,189.36,111.397998,17.74,69.75,0.60125
1075248000,189.52,6.624426886,19.237,102.75,0.72575
1077926400,189.4,48.1476742,23.917,155.5,0.6995
1080432000,189.1,60.94317359,27.045,148.333,0.6493
1083110400,188.96,66.79207921,30.843,135.0,0.47155
1085702400,188.82,39.91842091,34.03,104.5,0.2858
1088380800,188.7,0.461963424,43.895,44.75,0.2433
1090972800,188.45,1.724149352,44.405,46.25,0.2257
1093651200,188.4,0.665081648,42.99,50.75,0.23135
1096329600,189.0,0.555715696,42.3,36.75,0.23535
1098921600,188.8,72.40117818,35.997,65.0,0.2364
1101600000,188.86,42.14727491,25.003,40.0,0.4707
1104192000,189.0,48.47346818,18.82,74.5,0.5733
1106870400,189.0,5.540898263,21.17,89.0,0.62415
1109548800,189.13,38.65822524,22.943,113.25,0.59715
1111968000,188.9,21.12836123,30.225,141.75,0.4607
1114646400,188.76,2.479857299,35.117,106.333,0.2705
1117238400,188.5,3.569395848,39.26,64.5,0.2351
1119916800,188.25,5.839377746,45.075,51.5,0.22015
1122508800,188.4,0.02830701,43.36,58.0,0.2391
1125187200,188.55,0.246117312,44.465,38.5,0.20275
1127865600,188.59,2.916578092,42.477,55.333,0.2287
1130457600,188.75,18.91063191,36.463,54.667,0.2263
1133136000,188.7,90.04781842,28.305,49.5,0.22845
1135728000,189.0,58.54935658,20.935,52.5,0.44435
1138406400,189.3,143.4029896,14.58,87.0,0.5898
1141084800,189.5,82.07939923,19.47,190.0,0.74275
1143504000,189.62,41.26423448,23.525,254.333,0.7209
1146182400,189.8,22.9955864,29.377,146.333,0.44465
1148774400,189.5,23.70596132,35.555,97.667,0.25515
1151452800,187.9,4.703422621,40.3,87.5,0.2485
1154044800,187.78,3.412924826,42.49,45.25,0.2586
1156723200,188.7,2.287725437,43.395,45.5,0.24195
1159401600,188.85,8.670122623,39.503,48.0,0.2285
1161993600,187.95,44.95476034,36.557,42.667,0.2084
1164672000,188.575,28.49482298,27.895,44.0,0.27105
1167264000,189.2,17.51747221,23.085,58.0,0.3408
1169942400,189.2,23.99687013,24.465,53.0,0.388
1172620800,189.1,36.5626663,24.28,113.333,0.60565
1175040000,189.0,28.41936037,30.81,126.667,0.5579
1177718400,188.9,64.36573148,30.41,136.0,0.47665
1180310400,188.7,10.5497592,39.895,86.0,0.30905
1182988800,188.4,0.138078173,43.575,65.5,0.2682
1185580800,188.1,0.096861666,45.17,51.75,0.2602
1188259200,188.02,0.47509088,42.8,83.5,0.286
1190937600,187.94,1.8341076,41.223,70.0,0.2358
1193529600,188.07,16.28763552,36.503,43.667,0.2493
1196208000,188.2,76.46885097,31.415,40.667,0.2821
1198800000,188.375,34.40087074,21.87,50.333,0.53785
1201478400,188.55,43.21364227,19.675,132.25,0.77285
1204156800,188.52,37.49843806,25.325,197.0,0.7137
1206662400,188.4,18.55794239,28.82,149.0,0.61295
1209340800,188.28,39.13705051,32.983,94.0,0.3384
1211932800,188.16,14.99918193,37.823,99.0,0.2351
1214611200,188.145,0.375482077,44.75,44.0,0.26945
1217203200,188.13,0.043950132,43.175,54.5,0.25035
1219881600,188.115,0.02918061,43.07,55.75,0.2825
1222560000,188.1,43.88511837,38.735,64.25,0.25875
1225152000,188.155,90.74939239,30.737,82.667,0.3567
1227830400,188.21,84.02165651,24.49,58.0,0.3955
1230422400,188.265,50.16786236,18.54,70.75,0.54415
1233100800,188.32,106.3141447,16.905,117.75,0.69655
1235779200,188.375,113.1773329,18.623,169.333,0.73895
1238198400,188.43,68.23928082,25.735,185.25,0.66185
1240876800,188.43,14.23546225,29.637,147.0,0.4938
1243468800,188.48,4.409321599,36.07,100.75,0.29865
1246147200,188.44,6.755904034,41.77,75.75,0.26885
1248739200,188.2,0.162692683,44.3,50.5,0.30825
1251417600,187.95,0.052846283,42.285,41.75,0.22775
1254096000,187.93,55.2910459,39.043,59.333,0.2921
1256688000,187.96,6.786962762,37.703,45.0,0.2626
1259366400,188.08,18.07447314,32.285,39.667,0.27645
1261958400,188.12,134.4763573,22.51,44.0,0.3901
1264636800,188.22,111.9507469,19.15,84.5,0.5802
1267315200,188.35,158.1848967,18.835,142.5,0.7371
1269734400,188.63,48.82908869,21.617,211.0,0.6949
1272412800,189.0,22.78416127,32.317,134.0,0.46935
1275004800,189.16,14.04548272,35.685,82.667,0.2505
1277683200,189.26,5.672060139,41.205,76.0,0.21725
1280275200,189.17,1.567115776,42.06,48.5,0.2245
1282953600,189.09,6.06268546,45.57,32.75,0.25525
1285632000,188.95,5.412708521,38.843,51.333,0.2268
1288224000,189.0,55.20273006,30.923,65.333,0.3154
1290902400,189.0,170.6637776,25.775,55.0,0.4414
1293494400,189.07,58.18229485,17.025,59.25,0.5098
1296172800,189.26,78.87615538,19.235,107.75,0.70695
1298851200,189.2375,29.9531588,20.3,218.5,0.73245
1301270400,189.215,92.49149716,23.415,251.667,0.68845
1303948800,189.1925,63.71249557,29.483,182.667,0.43805
1306540800,189.17,94.95525312,34.2,75.0,0.26285
1309219200,189.1475,5.682008855,42.24,55.25,0.22745
1311811200,189.125,1.058427148,42.545,59.25,0.2566
1314489600,189.1025,0.174985878,41.955,53.0,0.23295
1317168000,189.08,3.528522737,41.99,42.0,0.211
1319760000,188.96,30.25793123,35.103,35.0,0.2598
1322438400,188.86,118.1884718,24.39,57.5,0.34685
1325030400,188.86,6.591280438,22.865,53.0,0.51835
1327708800,188.77,24.85498738,22.335,83.0,0.5683
1330387200,188.74,7.07066372,23.64,121.5,0.6806
