date,GWL,P,T,ET,NDVI
1211932800,207.34,15.5679203,40.077,40.5,0.19195
1214611200,206.7,0.472973539,47.24,30.0,0.1836
1217203200,206.0,0.07391477,45.745,36.25,0.197
1219881600,204.95,0.105660021,46.52,31.25,0.19035
1222560000,206.37,42.80861378,43.225,32.333,0.215
1225152000,208.7,89.10086846,32.503,42.667,0.205
1227830400,209.84,89.86681223,27.577,40.333,0.3118
1230422400,211.88,55.44907129,18.055,50.25,0.60215
1233100800,212.88,96.21046257,16.045,78.0,0.7241
1235779200,213.88,94.6243751,19.803,147.25,0.77585
1238198400,212.47,72.71516901,26.725,284.75,0.70445
1240876800,209.58,12.94599295,31.477,144.333,0.4268
1243468800,207.02,3.575388774,37.96,60.75,0.24165
1246147200,206.4,11.73540455,43.22,53.25,0.21075
1248739200,206.46,0.373516873,46.375,31.75,0.19305
1251417600,205.63,0.183506984,44.84,29.5,0.18375
1254096000,206.49,56.45647645,42.95,30.333,0.201
1256688000,207.78,7.076871023,40.51,31.667,0.2142
1259366400,207.58,14.8128359,31.645,40.0,0.2353
1261958400,209.2,144.4109598,23.535,50.5,0.3094
1264636800,211.1,104.8113635,19.195,61.0,0.5455
1267315200,212.2,154.7979748,17.62,43.5,0.7386
1269734400,212.5,50.57259035,23.63,59.75,0.70965
1272412800,209.16,22.93996006,32.457,81.0,0.49865
1275004800,208.02,11.99483751,38.145,68.75,0.25835
1277683200,207.7,5.182547718,43.045,45.0,0.20175
1280275200,208.03,2.192794003,43.85,28.5,0.1989
1282953600,208.03,7.002032541,48.075,37.0,0.2006
1285632000,208.02,6.034500226,41.763,45.667,0.2057
1288224000,208.18,53.7816782,34.93,29.667,0.2281
1290902400,211.5,143.7243891,28.745,40.0,0.28485
1293494400,212.35,76.3389405,20.343,34.333,0.4987
1296172800,212.6,78.62340063,20.025,131.5,0.73445
1298851200,211.76875,27.08055854,20.835,183.0,0.81755
1301270400,210.9375,68.79771155,25.02,108.0,0.79705
1303948800,210.10625,60.47854006,30.47,50.5,0.5096
1306540800,209.275,92.41140854,34.97,64.5,0.2667
1309219200,208.44375,6.102753326,43.675,23.75,0.2243
1311811200,207.6125,0.469672043,44.485,32.75,0.2071
1314489600,206.78125,0.206644715,42.845,32.0,0.20985
1317168000,205.95,3.169221394,43.303,42.333,0.2213
1319760000,207.8,29.04398283,35.57,69.333,0.2301
1322438400,211.47,108.3779812,26.33,40.0,0.3964
1325030400,212.27,6.81124974,23.47,63.0,0.57215
1327708800,210.04,23.72979999,22.96,95.5,0.6214
1330387200,208.56,6.89069286,24.85,184.0,0.62525
1332892800,205.05,13.11288799,34.36,179.0,0.48655
1335571200,204.175,63.39657962,36.097,113.667,0.3513
1338163200,203.3,4.045393523,42.01,65.0,0.22315
1340841600,202.32,3.263768021,43.855,43.0,0.207
1343433600,202.3,0.20934464,44.435,26.5,0.2036
1346112000,199.96,0.205962291,47.905,35.0,0.19865
1348790400,199.95,22.36277685,45.135,40.5,0.22
1351382400,201.4,101.1005133,38.93,30.333,0.2221
1354060800,207.42,101.6396606,18.05,30.333,0.3751
1356652800,209.47,15.79017757,21.5,45.0,0.5982
1359331200,208.12,44.86417562,20.845,64.5,0.79265
1362009600,209.6,19.42991406,21.415,153.333,0.76255
1364428800,210.4,96.42053998,22.13,193.5,0.7298
