date,GWL,P,T,ET,NDVI
1043712000,190.42,45.52694383,18.885,112.5,0.66095
1046390400,190.46,26.91752583,21.99,182.25,0.69275
1048809600,189.83,75.80064833,25.777,190.5,0.6232
1051488000,189.7,34.96472418,30.623,136.667,0.46865
1054080000,188.83,8.831782043,38.125,72.5,0.2729
1056758400,188.92,2.833195746,41.83,64.75,0.2761
1059350400,188.72,0.922476131,41.07,44.5,0.2148
1062028800,188.82,1.252022521,44.84,44.25,0.2208
1064707200,188.28,0.757943736,43.403,32.667,0.1988
1067299200,189.36,79.20019054,30.057,48.0,0.17
1069977600,189.57,93.69588017,24.05,65.25,0.35055
1072569600,189.74,111.397998,18.085,74.25,0.598
1075248000,189.82,6.624426886,19.66,128.75,0.77275
1077926400,189.25,48.1476742,21.08,162.5,0.74845
1080432000,189.59,60.94317359,27.78,130.667,0.6716
1083110400,189.59,66.79207921,31.417,120.0,0.4306
1085702400,189.22,39.91842091,34.823,104.0,0.2822
1088380800,188.8,0.461963424,43.86,43.25,0.244
1090972800,188.59,1.724149352,44.665,34.0,0.2711
1093651200,188.47,0.665081648,43.655,59.5,0.2655
1096329600,188.7,0.555715696,42.345,54.0,0.43895
1098921600,188.75,72.40117818,35.53,66.667,0.2819
1101600000,189.15,42.14727491,25.463,45.5,0.3208
1104192000,189.37,48.47346818,19.205,70.5,0.50205
1106870400,189.42,5.540898263,20.065,95.25,0.582
1109548800,189.05,38.65822524,23.757,108.0,0.5447
1111968000,188.65,21.12836123,30.345,112.333,0.43435
1114646400,188.44,2.479857299,35.637,96.0,0.2423
1117238400,188.1,3.569395848,39.25,51.5,0.2128
1119916800,187.76,5.839377746,46.46,36.25,0.1929
1122508800,187.7266666666667,0.02830701,43.895,44.5,0.1839
1125187200,187.6933333333333,0.246117312,44.325,32.5,0.17895
1127865600,187.66,2.916578092,42.71,36.333,0.2052
1130457600,187.98,18.91063191,37.037,53.0,0.2073
1133136000,188.22,90.04781842,28.445,44.0,0.2074
1135728000,188.32,58.54935658,21.31,52.5,0.41715
1138406400,188.42,143.4029896,15.44,124.667,0.72055
1141084800,188.42,82.07939923,19.755,218.0,0.8068
1143504000,188.78,41.26423448,22.555,273.5,0.7648
1146182400,188.87,22.9955864,29.51,138.0,0.4955
1148774400,188.85,23.70596132,35.425,92.5,0.27555
1151452800,188.52,4.703422621,39.675,78.5,0.237
1154044800,188.46,3.412924826,43.05,35.75,0.2136
1156723200,189.12,2.287725437,44.555,36.25,0.2033
1159401600,188.26,8.670122623,40.023,39.667,0.1998
1161993600,188.16,44.95476034,35.61,41.0,0.212
1164672000,188.1,28.49482298,27.43,43.333,0.3108
1167264000,188.62,17.51747221,22.57,45.75,0.3412
1169942400,188.2,23.99687013,26.27,64.125,0.3809
1172620800,188.16,36.5626663,25.015,82.5,0.4553
1175040000,188.12,28.41936037,31.85,92.0,0.49195
1177718400,188.1,64.36573148,30.937,107.667,0.4283
1180310400,188.09,10.5497592,41.695,71.667,0.25645
1182988800,188.08,0.138078173,44.275,63.5,0.22555
1185580800,187.74,0.096861666,44.76,44.0,0.20715
1188259200,187.6,0.47509088,44.06,48.75,0.21005
1190937600,187.45,1.8341076,40.617,52.0,0.2398
1193529600,187.17,16.28763552,37.25,36.5,0.2166
1196208000,187.27,76.46885097,31.275,42.0,0.21365
1198800000,187.61,34.40087074,22.32,57.0,0.47325
1201478400,187.65,43.21364227,20.21,151.75,0.7162
1204156800,187.75,37.49843806,26.525,178.0,0.72295
1206662400,187.76,18.55794239,30.45,133.667,0.497
1209340800,187.77,39.13705051,33.77,60.0,0.2893
1211932800,187.17,14.99918193,39.597,96.333,0.1948
1214611200,187.05,0.375482077,46.05,33.0,0.1859
1217203200,186.84,0.043950132,44.4,39.75,0.1984
1219881600,186.64,0.02918061,44.17,35.25,0.1944
1222560000,186.72,43.88511837,40.65,56.5,0.22375
1225152000,186.8,90.74939239,29.897,77.333,0.2644
1227830400,186.13,84.02165651,24.757,64.0,0.3601
1230422400,186.32,50.16786236,18.085,68.333,0.5753
1233100800,187.26,106.3141447,16.26,133.5,0.75755
1235779200,187.4,113.1773329,19.017,192.333,0.7895
1238198400,187.58,68.23928082,24.76,215.0,0.74415
1240876800,187.72,14.23546225,29.397,144.333,0.46695
1243468800,187.64,4.409321599,36.425,88.5,0.2346
1246147200,187.5,6.755904034,42.545,66.0,0.19
1248739200,187.26,0.162692683,44.885,38.75,0.19115
1251417600,187.03,0.052846283,42.755,35.0,0.1939
1254096000,187.0,55.2910459,38.663,54.333,0.2107
1256688000,187.2,6.786962762,38.63,40.667,0.2575
1259366400,187.29,18.07447314,33.14,49.333,0.25945
1261958400,187.28,134.4763573,22.92,43.0,0.35495
1264636800,187.43,111.9507469,18.815,92.0,0.5204
1267315200,187.58,158.1848967,18.685,189.333,0.71075
1269734400,187.8,48.82908869,22.49,183.5,0.6615
1272412800,189.88,22.78416127,35.79,126.5,0.3771
1275004800,189.25,14.04548272,35.35,63.5,0.2384
1277683200,188.12,5.672060139,40.04,68.0,0.2149
1280275200,187.9,1.567115776,41.92,56.25,0.21085
1282953600,187.61,6.06268546,46.235,27.75,0.20845
1285632000,187.73,5.412708521,39.23,44.5,0.1681
1288224000,187.73,55.20273006,31.71,62.0,0.2829
1290902400,187.88,170.6637776,26.983,67.25,0.4015
1293494400,187.98,58.18229485,19.777,97.75,0.6316
1296172800,188.13,78.87615538,19.095,128.75,0.7272
1298851200,188.15125,29.9531588,20.525,214.25,0.7427
1301270400,188.1725,92.49149716,24.045,188.75,0.69515
1303948800,188.19375,63.71249557,30.99,150.667,0.4204
1306540800,188.215,94.95525312,35.46,53.5,0.25785
1309219200,188.23625,5.682008855,42.85,46.0,0.22035
1311811200,188.2575,1.058427148,42.435,50.0,0.2003
1314489600,188.27875,0.174985878,41.715,44.0,0.2039
1317168000,188.3,3.528522737,42.43,38.667,0.2034
1319760000,187.22,30.25793123,35.31,35.667,0.2079
1322438400,186.99,118.1884718,26.03,55.5,0.3285
1325030400,187.3,6.591280438,22.535,50.333,0.472
1327708800,187.33,24.85498738,21.51,97.0,0.54595
1330387200,187.33,7.07066372,23.5,111.667,0.64605
1332892800,187.24,15.65178801,31.797,109.333,0.4687
1335571200,186.93,77.90066779,34.163,105.333,0.39865
1338163200,186.9,3.964140482,41.803,44.0,0.23615
1340841600,186.68,2.558590963,41.7,39.667,0.1932
1343433600,186.4,0.146915851,42.615,39.75,0.18815
1346112000,186.34,0.196942349,44.495,29.25,0.18225
1348790400,186.2,24.68924582,42.04,38.0,0.20135
1351382400,186.19,103.3350677,33.583,65.0,0.2166
1354060800,186.17,105.8438623,20.46,66.0,0.4341
1356652800,186.43,14.72504693,21.42,66.75,0.54865
1359331200,186.56,46.29023302,22.195,93.0,0.59215
1362009600,186.68,20.68846688,20.15,124.5,0.7
1364428800,186.9,102.2919313,19.875,189.0,0.70625
1367107200,186.98,47.77907431,29.917,156.0,0.50005
1369699200,187.05,17.98237753,35.85,90.25,0.25735
1372377600,186.82,0.272677751,43.21,52.25,0.2001
1374969600,186.6,0.165364168,46.345,33.75,0.18975
1377648000,186.5,0.339105613,45.805,30.0,0.1837
1380326400,186.05,12.89585307,41.857,62.0,0.1968
1382918400,186.04,11.49297754,35.783,41.0,0.2541
1385596800,186.0,41.14144117,29.71,32.5,0.2997
1388188800,186.12,23.26061806,23.26,42.25,0.34875
1390867200,186.23,99.63184512,21.34,79.0,0.4703
1393545600,186.03,35.68988353,20.995,143.25,0.6832
1395964800,186.21,24.00988287,27.09,162.5,0.6812
1398643200,186.28,61.67879641,33.35,109.667,0.3575
1401235200,186.16,7.133881085,38.78,49.667,0.21
1403913600,185.98,1.418847126,41.755,55.5,0.18415
1406505600,185.91,1.174459431,43.925,53.25,0.1703
1409184000,185.77,0.517286395,43.085,36.0,0.19615
1411862400,185.71,9.026180506,41.43,41.0,0.1932
1414454400,185.64,9.147629857,40.103,19.0,0.2166
1417132800,185.63,176.031661,29.87,74.0,0.23385
1419724800,185.63,59.63862383,19.1,60.0,0.50825
1422403200,185.74,64.6640625,19.37,85.333,0.654
1425081600,185.94,25.44339716,19.695,177.25,0.75805
1427500800,185.96,57.45010597,26.64,196.5,0.71235
1430179200,185.98,2.280556429,32.257,165.5,0.41385
1432771200,185.88,11.24484238,39.365,59.0,0.2595
1435449600,185.76,1.477459442,43.41,42.75,0.20605
1438041600,185.48,0.797731407,44.315,41.5,0.1936
1440720000,185.34,3.394665554,40.48,56.0,0.2072
1443398400,185.17,5.357662551,41.37,54.333,0.2082
1445990400,185.07,53.66143996,34.623,62.667,0.2257
1448668800,185.04,26.04600102,30.925,36.333,0.23585
1451260800,185.08,3.476428919,29.105,22.0,0.2635
1453939200,185.01,23.45395768,27.82,49.5,0.2757
1456617600,184.81,60.00059724,29.68,44.0,0.3738
1459123200,184.78,52.30958426,30.575,110.667,0.49995
1461801600,184.85,15.92731655,35.923,99.333,0.42815
1464393600,184.7,48.87375051,37.677,98.333,0.22685
1467072000,184.6,1.56304781,45.065,65.25,0.227
1469664000,184.45,0.82485638,45.02,47.25,0.21075
1472342400,184.05,1.157521156,45.86,36.75,0.2145
1475020800,182.91,1.755185779,42.275,42.5,0.20255
1477612800,183.89,16.92077516,38.123,52.333,0.2094
1480291200,183.88,103.1277609,27.877,60.0,0.2372
1482883200,183.88,76.21525991,22.37,60.333,0.4546
1485561600,184.01,41.25053439,19.205,99.0,0.68625
1488240000,184.14,112.1786821,21.983,201.667,0.74275
1490659200,184.33,31.95588416,27.235,220.0,0.63945
1493337600,184.45,5.53594362,35.157,99.333,0.29765
1495929600,184.12,5.773592748,39.435,67.5,0.21705
1498608000,183.71,1.774082635,44.12,45.0,0.27465
1501200000,183.53,0.144403573,44.64,55.0,0.2597
1503878400,183.22,0.350489333,43.64,40.25,0.2402
1506556800,182.88,1.537584197,41.703,47.667,0.3099
1509148800,182.77,11.18438512,39.563,37.667,0.3901
1511827200,182.79,36.47447258,32.36,26.75,0.28735
1514419200,182.8,76.23571998,23.455,36.5,0.2994
1517097600,182.95,90.50500238,21.165,62.333,0.395
1519776000,183.1,95.04332542,22.595,138.333,0.6443
1522195200,183.23,142.8752296,21.745,216.0,0.78185
1524873600,183.4,64.93909121,24.19,212.0,0.60155
1527465600,183.49,9.946889766,31.105,174.0,0.3028
1530144000,183.37,0.476624017,38.445,118.0,0.2178
1532736000,183.05,0.066696669,41.18,65.25,0.22565
1535414400,182.87,0.676006232,44.135,45.75,0.22375
1538092800,182.6,35.06229222,40.803,49.0,0.2034
1540684800,181.7,101.068418,31.277,70.667,0.2414
1543363200,182.61,102.6179695,22.195,75.5,0.43735
1545955200,182.77,8.646043584,24.53,58.75,0.5379
1548633600,182.98,19.78914133,23.45,51.0,0.47835
1551312000,183.02,33.13190639,29.11,89.0,0.5161
1553731200,183.07,22.25064397,32.42,99.25,0.3959
1556409600,182.96,18.69290605,35.59,100.0,0.3522
1559001600,182.75,6.636386409,43.785,60.0,0.25605
1561680000,182.5,0.364840674,44.385,78.75,0.2424
1564272000,182.2,0.316388732,44.285,80.5,0.2656
1566950400,181.95,1.08220994,45.47,48.25,0.37445
1569628800,181.85,1.840490419,42.603,41.333,0.2333
1572220800,181.78,31.08354297,38.163,41.0,0.2361
1574899200,181.73,29.39280242,28.615,76.0,0.264
1577491200,181.82,90.55977505,25.41,57.333,0.4363
1580169600,182.01,21.29256977,24.46,71.5,0.5248
1582848000,182.03,1.327257771,32.22,94.5,0.52675
1585353600,182.01,17.85133275,35.43,84.5,0.35115
1588032000,181.83,20.02224103,31.57,82.75,0.2932
1590624000,181.68,46.3197535,42.15,81.0,0.3167
1593302400,181.42,1.482501185,43.5,96.25,0.2774
1595894400,181.21,0.866494431,45.82,84.25,0.27225
1598572800,181.02,0.288213265,44.13,64.0,0.2235
